,plot,species,plot.rgr
1,AC103,ACRU,0.018394448
2,AC103,PIST,0.047733898
3,AC103,POGR,0.010887125
4,AC103,QURU,0.020632007
5,AC104,PIRE,0.02363117
6,AC104,PIST,0.040340918
7,AC104,POGR,0.008260151
8,AC104,QURU,0.014080759
9,AC107,ACRU,0.018394448
10,AC107,PIRE,0.016539937
11,AC107,PIST,0.030550258
12,AC107,POGR,0.0095
13,BF7,ACRU,0.017207748
14,BF7,PIST,0.018048372
15,BF7,POGR,0.014560728
16,BF7,QURU,0.027550503
17,BF8,ACRU,0.017208
18,BF8,PIST,0.033799595
19,BF8,POGR,0.023401477
20,BF8,QURU,0.026119193
21,BP36#1,ACRU,0.028721249
22,BP36#1,PIST,0.036284387
23,BP36#1,POGR,0.019227813
24,BP36#2,ACRU,0.025610092
25,BP36#2,PIST,0.023405375
26,BP36#2,POGR,0.019228
27,BP54#1,PIST,0.048499666
28,BP54#1,POGR,0.020411274
29,BP54#1,QURU,0.029551298
30,BP54#2,ACRU,0.014423782
31,BP54#2,POGR,0.023662297
32,BP54#2,QURU,0.025132253
33,BP80#1,POGR,0.040472226
34,BP80#2,POGR,0.038195596
35,BP80#3,POGR,0.039
36,BP98#1,ACRU,0.091052796
37,BP98#1,POGR,0.079709953
38,BP98#1,QURU,0.077064302
39,BP98_2,POGR,0.075023394
40,BP98_2,QURU,0.077064
41,BS40E,ACRU,0.024303338
42,BS40E,BEPA,NA
43,BS40E,PIRE,0.005856588
44,BS40E,POGR,0.013761
45,BS40F,PIRE,0.004668298
46,BS40F,PIST,0.010816642
47,BS40F,POGR,0.013761355
48,BS40X,PIRE,0.0052
49,BS40X,PIST,0.01529973
50,BS40X,POGR,0.024731554
51,BS40X,QURU,0.016154816
52,BS42A,PIRE,0.005990215
53,BS42A,PIST,NA
54,BS42B,PIRE,0.00599
55,BS42C,PIRE,0.00599
56,CP1,ACRU,0.009080837
57,CP1,FAGR,0.005557059
58,CP1,QURU,0.01455654
59,CP1,TSCA,NA
60,CP2,ACSA,0.008942957
61,CP2,FAGR,0.005557059
62,CP2,QURU,0.014590725
63,CP2,TSCA,NA
64,CP3,ACSA,0.008942957
65,CP3,FAGR,0.005557059
66,CP3,QURU,0.016270336
67,CP3,TSCA,NA
68,DNR1,ACRU,0.050971679
69,DNR1,PIST,0.054593579
70,DNR1,POGR,0.054785198
71,DNR1,QURU,0.088149169
72,DNR2,ACRU,0.051673016
73,DNR2,BEPA,NA
74,DNR2,POGR,NA
75,DNR2,QURU,0.058687326
76,DNR3,ACRU,0.056160229
77,DNR3,BEPA,0.072515392
78,DNR3,PIST,0.059018121
79,DNR3,POGR,NA
80,DNR3,QURU,0.088119916
81,PSA1,ACRU,NA
82,PSA1,PIRE,0.019906065
83,PSA1,PIST,0.019236409
84,PSA1,POGR,0.030353693
85,PSA1,QURU,0.060162637
86,PSA2,ACRU,NA
87,PSA2,PIRE,0.017097189
88,PSA2,POGR,NA
89,PSA2,QURU,NA
90,PSA3,ACRU,NA
91,PSA3,PIRE,NA
92,PSA3,POGR,NA
93,PSA3,QURU,NA
94,RP32_1,ACRU,0.008389137
95,RP32_1,PIRE,0.013554481
96,RP32_1,POGR,0.023720408
97,RP32_1,QURU,0.020377086
98,RP32_2,ACRU,0.09
99,RP32_2,PIRE,0.012415118
100,RP32_2,PIST,0.011760133
101,RP32_2,POGR,0.020772272
102,RP32_3,ACRU,0.010254858
103,RP32_3,PIRE,0.00848694
104,RP32_3,PIST,0.018229943
105,RP32_3,POGR,0.011022412
106,RP47_1,PIRE,0.013574336
107,RP47_1,QURU,0.011805411
108,RP47_2,PIRE,0.011006778
109,RP47_2,QURU,0.012079371
110,RP47_3,PIRE,0.010333076
111,RP47_3,QURU,0.011753524
112,RP73_1,PIRE,0.036540787
113,RP73_2,PIRE,0.04893818
114,RP73_3,PIRE,0.039279773
115,RP73_3,PISY,0.042024895
116,RP97_1,PIBA,0.059727521
117,RP97_1,PIRE,0.167822997
118,RP97_1,POGR,0.025286438
119,RP97_2,PIRE,0.126479629
120,RP97_2,PIST,0.068350532
121,RP97_2,POGR,0.048063533
122,RP97_3,ACRU,0.038345518
123,RP97_3,PIRE,0.211391367
124,RP97_3,POGR,0.017409195
